epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.9177,2.55244,6.04913,1.78517,0,0,0,0,2.05908,5.51749,1.52183,1.78909e-05,1.78909e-05,1.78909e-05
2,157.614,2.15487,5.39595,1.43789,0.00528,0.09271,0.00842,0.0042,1.96845,4.51013,1.38305,3.44696e-05,3.44696e-05,3.44696e-05
3,232.506,2.07126,4.68726,1.36408,0.41443,0.03825,0.01656,0.00819,1.91509,3.91801,1.32099,4.96227e-05,4.96227e-05,4.96227e-05
4,306.479,2.02812,4.31514,1.32263,0.43865,0.04017,0.02705,0.01506,1.88487,3.6438,1.30049,4.75848e-05,4.75848e-05,4.75848e-05
5,384.835,1.99662,4.02074,1.30044,0.36501,0.07706,0.0403,0.02256,1.83898,3.38106,1.28116,4.54464e-05,4.54464e-05,4.54464e-05
6,459.358,1.96077,3.78409,1.2908,0.38098,0.10453,0.06384,0.03443,1.8095,3.28846,1.28252,4.3308e-05,4.3308e-05,4.3308e-05
7,533.857,1.94655,3.65906,1.27877,0.41796,0.1018,0.07809,0.03891,1.81066,3.18747,1.26502,4.11696e-05,4.11696e-05,4.11696e-05
8,608.685,1.9054,3.49586,1.26156,0.39596,0.11258,0.08854,0.04684,1.78537,3.00257,1.25865,3.90312e-05,3.90312e-05,3.90312e-05
9,687.297,1.91149,3.41531,1.26106,0.40588,0.13094,0.09102,0.04613,1.78894,2.90949,1.24676,3.68928e-05,3.68928e-05,3.68928e-05
10,760.565,1.90318,3.31828,1.25776,0.43545,0.13607,0.11003,0.05632,1.752,2.88751,1.24048,3.47544e-05,3.47544e-05,3.47544e-05
11,834.842,1.87594,3.23768,1.24893,0.39101,0.15243,0.12095,0.06386,1.74585,2.79288,1.23538,3.2616e-05,3.2616e-05,3.2616e-05
12,909.071,1.87522,3.20654,1.25149,0.40974,0.16233,0.13142,0.06894,1.75347,2.80185,1.23922,3.04776e-05,3.04776e-05,3.04776e-05
13,986.93,1.86514,3.09938,1.23952,0.41963,0.16291,0.14714,0.07732,1.74378,2.70457,1.2369,2.83392e-05,2.83392e-05,2.83392e-05
14,1061.47,1.8469,3.08127,1.23386,0.43752,0.16713,0.16763,0.08912,1.73534,2.68057,1.2295,2.62008e-05,2.62008e-05,2.62008e-05
15,1136.16,1.85174,3.04383,1.23402,0.42564,0.16428,0.15965,0.08379,1.73155,2.63645,1.23349,2.40624e-05,2.40624e-05,2.40624e-05
16,1208.91,1.8325,2.94446,1.26611,0.33068,0.1981,0.17908,0.09467,1.73439,2.56252,1.22958,2.1924e-05,2.1924e-05,2.1924e-05
17,1283.39,1.82082,2.89471,1.2568,0.33991,0.18607,0.18539,0.09739,1.73007,2.55309,1.22741,1.97856e-05,1.97856e-05,1.97856e-05
18,1356.09,1.81907,2.84251,1.25802,0.36472,0.21044,0.18431,0.10292,1.71872,2.53947,1.22263,1.76472e-05,1.76472e-05,1.76472e-05
19,1427.57,1.81168,2.8119,1.25443,0.37544,0.20837,0.20083,0.10803,1.72829,2.50331,1.23112,1.55088e-05,1.55088e-05,1.55088e-05
20,1498.51,1.80252,2.79009,1.25851,0.39433,0.21311,0.1969,0.11094,1.72248,2.4943,1.22844,1.33704e-05,1.33704e-05,1.33704e-05
21,1571.05,1.80234,2.75425,1.24736,0.37986,0.2166,0.20086,0.11126,1.72179,2.48416,1.22691,1.1232e-05,1.1232e-05,1.1232e-05
22,1642.78,1.80587,2.77368,1.25262,0.36898,0.22152,0.20803,0.11405,1.72049,2.46192,1.23194,9.0936e-06,9.0936e-06,9.0936e-06
23,1716.37,1.79754,2.72518,1.2362,0.38056,0.22055,0.20242,0.1096,1.71719,2.44525,1.2238,6.9552e-06,6.9552e-06,6.9552e-06
24,1788.13,1.78753,2.70655,1.24244,0.36967,0.21435,0.20241,0.11047,1.71825,2.44592,1.22678,4.8168e-06,4.8168e-06,4.8168e-06
25,1857.69,1.77926,2.69493,1.23702,0.37212,0.22355,0.20357,0.1103,1.71771,2.44322,1.22816,2.6784e-06,2.6784e-06,2.6784e-06
